NACIONAL ABRAHAM L.	201
NACIONAL MILLÓN	202
NACIONAL MÁXIMO G.	204
NACIONAL LOPE DE VEG	205
NACIONAL ESTRELLA SA	206
NACIONAL ARROYO HOND	207
NACIONAL CHARLES GAU	208
NACIONAL SARASOTA	209
NACIONAL LA MARINA	210
NACIONAL INDEPENDENC	211
NACIONAL PUNTA CANA	212
NACIONAL AV. TIRADEN	213
NACIONAL  PASEO SANT	214
NACIONAL  CONDE	215
CUESTA CONDE	302
CUESTA NACO	303
CUESTA PLAZA CENTRAL	304
CUESTA 27 DE FEBRERO	308
JUGUETÓN PLAZA NACO	401
JUGUETÓN PLAZA C.	402
JUGUETÓN SANTIAGO	403
JUGUETÓN PRADERAS	404
JUGUETÓN 27 DE FEBRE	410
CUESTA LIBROS 27 FEB	601
CUESTA LIBROS-STGO.	602
JUMBO LA ROMANA	801
JUMBO MEGACENTRO	802
JUMBO SAN PEDRO MACO	803
JUMBO SANTIAGO	804
JUMBO CARRET MELLA	805
JUMBO LUPERON	806
JUMBO AGORA MALL	807
JUMBO LA VEGA	808
JUMBO MOCA	809
JUMBO PTO PLATA	810
JUMBO BAVARO	811
JUMBO HIGUEY	813
GRANERÍA	AG69
PROCARNE	AGRO
PERECEDEROS	AP12
BEBEMUNDO 27 FEBRERO	B551
BEBEMUNDO PASEO SANT	B552
AD. CD LUPERÓN	CORP
BACKOFFICE	CORP
CELULAS PRODUCTIVA S	CORP
CÉLULAS PRODUCTIVAS	CORP
COMPRAS ALIMENTOS	CORP
CONTABILIDAD G. CCN	CORP
CONTROL DE GESTIÓN	CORP
CUENTAS POR PAGAR IN	CORP
CUENTASX PAGAR LOCAL	CORP
DIRECCIÓN C. HOGAR C	CORP
DIRECCIÓN FINAN AD	CORP
GERENCIA BANCARIA	CORP
IMPORTACIONES	CORP
LOGISTICA	CORP
MERCADEO JUMBO	CORP
MERCADEO SM NACIONAL	CORP
PRESIDENCIA	CORP
RESP SOCIAL & CORP	CORP
SUBGERENCIA CRÉDITOS	CORP
SUBGERENCIA TARJETAS	CORP
SUMINISTRO GENERAL	CORP
VICEPRESIDENCIA CO	CORP
VICEPRESIDENCIA FIN	CORP
VICEPRESIDENCIA RH	CORP
VP BEBEMUNDO	CORP
VP DESARROLLO	CORP
VP EJECUTIVA	CORP
VP FERRETERÍA CUESTA	CORP
VP JUMBO	CORP
VP LIBROS	CORP
VP SUPERMERCADOS	CORP
VP TECNOLOG/ADMINIST	CORP
FERRETERÍA HOGAR	FH50
CASA CUESTA 27 FEB	H511
CASA CUESTA  BELLA V	H512
CASA CUESTA  PASEO S	H513
CASA CUESTA -AGORA	H513
JUGUETES Y NAVIDAD	JN01
MANTENIMIENTO CD 101	MANT
MGC	MGC
MGC-ALM	MGCA
ABARROTES	MP01
PANIFICADORA	PAN
TRANSPORTACION	TRAN
DIRECCIÓN C. TEXTIL	CORP
TEXTIL/HOGAR	CORP
DIRECCIÓN C. TEXTIL	CORP
VP JUGUETÓN	CORP
DIRECCIÓN C. HO-EL	CORP
VP HOGAR	CORP
VP COMERCIALIZACIÓN	CORP
JUMBO PUERTO PLATA	810
